"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2016,"non-mast","SU",11531,"M",476.474885794452,476.474885794452,0,3.118,6.16851156334274,0,1.4153676086056
2010,"mast","SU",11534,"M",83860.0298675213,77809.4942225556,6050.5356449657,1155.84,11.2620315882494,8.70806734443078,7.0534474289533
2012,"non-mast","SU",11534,"M",43818.2798338009,0,43818.2798338009,36.241,0,10.6878291783681,3.61741030489474
2013,"non-mast","SU",11534,"M",43406.2294140207,23518.5843783192,19887.6450357015,59.005,10.0655887308666,9.89790424663672,4.0944278920834
2014,"mast","SU",11534,"M",77292.9313055044,71119.3744919657,6173.55681353869,263.342,11.172129135809,8.72819238783366,5.57724371931451
2015,"post-mast","SU",11534,"M",21849.0569574006,0,21849.0569574006,0.006,0,9.99195880726636,0.00598207167754747
2016,"non-mast","SU",11534,"M",12847.8049562433,0,12847.8049562433,3.118,0,9.4610060864845,1.4153676086056
2017,"non-mast","SU",11534,"M",2116.64805035612,0,2116.64805035612,44.479,0,7.65806134160565,3.81725068095371
2010,"mast","SU",11536,"F",4709.00195080504,2241.18274663983,2467.81920416521,1155.84,7.71520511085438,7.81149526032346,7.0534474289533
2010,"mast","KL",11537,"F",37253.0056862678,26634.4879669812,10618.5177192866,1871.957,10.1899997397007,9.27044888126819,7.53527374435888
2011,"post-mast","KL",11537,"F",1093.84147545615,0,1093.84147545615,0.037,0,6.9983648604973,0.0363319292473902
2012,"non-mast","KL",11537,"F",2965.66346498877,2588.67234655799,376.991118430775,129.998,7.85928663957042,5.93487069912867,4.87518205590903
2013,"non-mast","KL",11537,"F",5546.1000391389,5178.402798975,367.697240163905,152.574,8.55244503883399,5.90997581989585,5.03418253555231
